Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	66237	-	0	0	0	0	0	0	25	74	0	0	0	0	1	0	0	1	0	0	32	331	1378	0	0	0	0	14	0	2
fsh-generated/resources/Basic-tddui-basic-decision-example.json	5389	5	0	0	4	0	0	0	1	2218	0	0	0	0	0	0	0	0	0	0	13	26	56	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-tddui-bundle-example.json	31287	11	46	0	0	0	0	0	3	226	0	0	0	0	0	0	0	1	0	0	27	118	251	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-tddui-pp-ime-bundle-example.json	10604	6	11	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	10	44	172	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-tddui-pp-pa-bundle-example.json	198240	16	65	0	0	0	0	0	3	1783	0	0	0	0	0	0	0	0	0	0	9	474	543	0	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	7809	3	0	0	0	0	0	0	1	40	0	0	0	0	1	0	0	0	0	0	8	126	101	0	0	1	0	2	0	0
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	7829	4	0	0	0	0	0	0	0	36	0	0	0	0	1	0	0	0	0	0	8	131	76	0	0	0	0	3	0	0
fsh-generated/resources/CarePlan-tddui-pp-ime-careplan-example.json	1078	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	11	43	0	0	0	0	0	0	0
fsh-generated/resources/CarePlan-tddui-pp-pa-careplan-example.json	1338	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	12	32	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-basic-decision-identifier.json	1080	2	0	0	1	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	7	15	133	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-basic-type.json	586	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	105	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-discriminator.json	1800	3	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	7	24	105	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-encounter-identifier.json	748	3	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	8	15	83	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-goal-identifier.json	635	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	8	14	74	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	617	3	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	7	13	66	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-observation-identifier.json	656	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	14	66	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-observation-periode-scolaire.json	857	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	11	17	63	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-observation-type.json	802	1	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	7	16	64	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-service-request-identifier.json	783	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	7	12	69	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-slot-identifier.json	632	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	11	62	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-action.json	1181	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	7	16	61	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-bilan.json	1226	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	19	61	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-moyen-ressource.json	1007	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	8	14	59	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-prestation.json	1030	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	15	60	0	0	0	0	0	0	0
